iter	Passed	Remaining
0	2	334
1	4	331
2	6	326
3	8	315
4	10	307
5	12	302
6	14	301
7	17	312
8	19	308
9	22	309
10	24	307
11	26	303
12	28	299
13	30	297
14	32	296
15	34	292
16	37	289
17	39	288
18	41	285
19	43	282
20	45	280
21	47	277
22	49	274
23	51	271
24	54	270
25	56	267
26	58	268
27	61	266
28	63	265
29	65	263
30	68	263
31	70	261
32	72	257
33	74	255
34	77	253
35	79	250
36	81	247
37	83	245
38	85	243
39	87	240
40	89	237
41	91	234
42	93	232
43	95	229
44	97	227
45	99	225
46	101	222
47	103	220
48	105	217
49	107	214
50	109	212
51	111	209
52	113	207
53	115	205
54	117	202
55	119	200
56	121	197
57	123	195
58	125	193
59	127	190
60	129	188
61	131	186
62	133	183
63	134	181
64	137	179
65	139	177
66	141	174
67	143	172
68	145	170
69	147	168
70	149	165
71	151	163
72	153	161
73	155	159
74	157	157
75	158	154
76	160	152
77	163	150
78	165	148
79	167	146
80	169	144
81	170	141
82	173	139
83	175	137
84	177	135
85	179	133
86	181	131
87	183	129
88	185	126
89	187	124
90	189	122
91	191	120
92	194	118
93	196	116
94	198	114
95	200	112
96	202	110
97	204	108
98	206	106
99	208	104
100	210	102
101	212	100
102	214	97
103	216	95
104	219	94
105	221	91
106	223	89
107	225	87
108	228	85
109	231	84
110	233	81
111	235	79
112	237	77
113	239	75
114	241	73
115	243	71
116	245	69
117	247	67
118	249	65
119	252	63
120	254	60
121	256	58
122	257	56
123	260	54
124	261	52
125	263	50
126	265	48
127	267	46
128	269	43
129	271	41
130	273	39
131	275	37
132	277	35
133	279	33
134	282	31
135	283	29
136	285	27
137	287	25
138	289	22
139	291	20
140	293	18
141	295	16
142	297	14
143	299	12
144	301	10
145	303	8
146	305	6
147	307	4
148	310	2
149	312	0
