feature,shap_importance,perm_importance_mean,xgb_gain,shap_importance_norm,perm_importance_mean_norm,xgb_gain_norm,avg_rank
M4,9.3531715e-05,0.016539280640176478,0.001991681754589081,1.0,1.0,0.3517166099783778,0.7839055366594593
M4_vol_norm_20,7.6182994e-05,0.010727744359859659,0.001822533318772912,0.8145151,0.6486221857678806,0.3218462181392547,0.5949945059125673
V13_vol_norm_20,7.418454e-05,0.00902973485946056,0.002438502386212349,0.7931485,0.5459569285937341,0.4306219056968482,0.5899091172997416
I2_trend,4.0172647e-05,0.005265396829825142,0.0025270620826631784,0.4295083,0.31835706427489213,0.4462609083360155,0.3980420904154635
E19_rolling_std_5,4.9400638e-05,0.00475454505686651,0.0021075280383229256,0.52816993,0.287469882173532,0.37217422681378814,0.3959380129895173
V7_vol_norm_60,3.9362534e-05,0.005367112526149487,0.002214664127677679,0.4208469,0.32450701109163954,0.39109368624417734,0.3788158688734695
D8_trend,5.1941955e-05,0.004796634998449523,0.0016063399380072951,0.5553406,0.29001472934667744,0.28366802887410497,0.37634111543786214
P8_trend,2.6766404e-05,0.005348490649349213,0.0027007723692804575,0.28617463,0.32338109290901684,0.4769368900718662,0.3621642027130643
S2_ema_60,4.1680367e-05,0.0038304483465097074,0.0020377375185489655,0.44562817,0.2315970343477306,0.3598497251874776,0.3456916419113129
E19_vol_regime_60,1.1087902e-06,0.00014828420741922477,0.005662745796144009,0.011854698,0.00896557780506,1.0,0.3402734252517481
V13_lag1,3.2442276e-05,0.004686328279323193,0.0019315308891236782,0.34685856,0.28334535106317593,0.3410944016662262,0.3237661045894577
M2_rolling_mean_10,1.4406755e-06,0.00010924838257306835,0.0050853099673986435,0.01540307,0.006605389009948056,0.8980290040321844,0.3066791541992973
E12_rolling_mean_5,4.534416e-05,0.002257246590047679,0.0016747150802984834,0.48479983,0.13647791818493465,0.2957425850616258,0.305673445117399
E19_lag5,2.960281e-05,0.003372474868461006,0.0022182173561304808,0.31650025,0.2039069861520302,0.3917211607204678,0.3040427977991029
E19_vol_norm_20,3.0304747e-05,0.003938338112220108,0.001924256095662713,0.32400504,0.23812027849949371,0.3398097256940293,0.3006450139132269
P7,2.0354728e-05,0.0047816324022902255,0.002076854230836034,0.2176238,0.28910764055087734,0.3667574539987734,0.2911629648629807
V10_lag40,2.3612613e-06,0.00014127329242683562,0.004753211513161659,0.025245568,0.008541683009094173,0.8393828160886742,0.2910566889604939
M4_vol_norm_5,2.8586996e-05,0.0036083953135529036,0.00186620291788131,0.3056396,0.21817123683043094,0.3295579538732045,0.28445626183231837
V13,2.5447262e-05,0.002589362854749211,0.0023955535143613815,0.27207094,0.15655837222202076,0.42303744519003667,0.283888920573764
P10,2.2351993e-05,0.0034763419693560225,0.002143335761502385,0.23897769,0.21018701145389895,0.3784976120527728,0.27588743635912955
S5_ema_60,2.568166e-05,0.0029776526868974364,0.002018612576648593,0.27457702,0.1800351993341389,0.3564723986061934,0.2703615398463827
P6,2.9336805e-05,0.003815582364767167,0.0015104220947250724,0.31365624,0.23069820554943157,0.2667296306596668,0.2703613589702579
S2_ema_20,2.4012894e-05,0.003088400015135406,0.002015155041590333,0.25673532,0.18673121777939988,0.3558618228920912,0.26644278851037007
V7_vol_norm_20,2.1112142e-05,0.003085044505484891,0.002185954712331295,0.22572175,0.1865283365463211,0.386023810890434,0.2660912980399586
P8_rolling_std_20,1.586799e-05,0.0034987850856281755,0.00230839429423213,0.16965358,0.2115439698827701,0.40764575655223806,0.2629477686759043
E19_vol_norm_5,1.8957366e-05,0.004128328277715465,0.0019026348600164056,0.20268382,0.2496074870201498,0.3359915716704052,0.26276096000369625
M4_ema_5,1.7210581e-05,0.0034184677696421973,0.002188720041885972,0.18400797,0.20668781454365126,0.3865121481130867,0.25906931171186814
M4_rolling_mean_60,1.4650572e-05,0.0034925454867353435,0.002246629213914275,0.15663747,0.21116671049473631,0.3967384895582096,0.2548475583158232
E18,1.935392e-05,0.003566876932885055,0.0017434934852644801,0.2069236,0.21566094744293518,0.3078883545243537,0.24349096865960818
E7_return_60d,1.2513053e-06,0.00031315999670358254,0.003952164202928543,0.013378407,0.018934317853151868,0.6979236478564393,0.24341212419480893
D8_ema_60,2.8902385e-05,0.0022121348541300433,0.0015799177344888449,0.3090116,0.1337503669147753,0.27900205860638744,0.24058801129445354
V13_lag60,2.6605789e-05,0.0033848267159812817,0.0013144182739779353,0.28445742,0.20465380506084482,0.23211677184467217,0.24040933074928264
M4_vol_norm_60,1.6739803e-05,0.0026937196006083576,0.0021308381110429764,0.17897461,0.16286800249733321,0.3762906172644991,0.23937774443638582
V7,1.7879383e-05,0.0011307713821650856,0.0025179076474159956,0.19115852,0.06836883699876684,0.4446443012028794,0.23472388546559952
E19_vol_norm_60,1.495213e-05,0.0019636751087235282,0.002389117842540145,0.15986161,0.1187279635338829,0.42190095203761246,0.23349684163706982
S5_lag1,2.910181e-05,0.0018290319987998127,0.00152914400678128,0.31114376,0.11058715542662782,0.27003578508195364,0.23058889880712075
M4_trend,1.4785099e-05,0.0023512124442353287,0.0022107032127678394,0.15807578,0.14215929310274045,0.39039421728469537,0.2302097633546244
V13_lag20,1.8203273e-05,0.00248588338350757,0.0019330683862790465,0.1946214,0.15030178383145476,0.34136591255700555,0.2287630318111503
P8_rolling_mean_5,3.8247963e-06,0.0006851766083819655,0.003401131136342883,0.04089304,0.04142723152768599,0.600615188952831,0.22764515369265192
P8_vol_norm_60,6.5817117e-06,0.0011097662110462036,0.0030781845562160015,0.07036877,0.0670988197848466,0.54358515586415,0.2270175808112215
S2_vol_norm_20,1.2887445e-05,0.0019549774236982563,0.002379091689363122,0.13778691,0.11820208304279649,0.4201304058153451,0.22537313293200004
V13_ema_5,1.7329294e-05,0.0012198380744691151,0.002337777754291892,0.1852772,0.07375399819421041,0.412834663333074,0.2239552851039994
V7_vol_norm_5,1.814305e-05,0.002484074045504803,0.0018400344997644424,0.19397752,0.15019238741681434,0.3249368002740642,0.2230355691868943
P8,9.212029e-06,0.0020790254031854303,0.00250665913335979,0.09849097,0.12570228708346332,0.44265789487966684,0.22228371676990863
S5_rolling_mean_5,1.6829796e-05,0.0023704459843542857,0.0018974983831867576,0.17993678,0.14332219374741756,0.3350845069681285,0.21944782741371935
M4_lag10,1.7725411e-05,0.00215968952220742,0.0018817633390426636,0.18951231,0.13057941086997454,0.33230581184202757,0.21746584504142139
E19_lag1,1.3592513e-05,0.0028477269938784523,0.0018779549282044172,0.14532517,0.172179616262202,0.33163327399990167,0.21637935307645026
S5_rolling_mean_20,1.2033589e-05,0.002039494258227981,0.002248395001515746,0.12865785,0.12331215018346886,0.3970503148926036,0.21634010423965702
S2_rolling_mean_10,2.3183844e-05,0.001799566919136919,0.0016551880398765206,0.24787147,0.10880563419218438,0.29229425078618304,0.2163237861366515
M4_lag1,1.8356026e-05,0.002710017255676689,0.0016347941709682345,0.19625457,0.16385339330258636,0.28869284086201286,0.21626693349214512
S12_lag1,1.3205645e-05,0.0013082951552935151,0.0023780714254826307,0.14118895,0.07910230098614225,0.4199502345844228,0.21341382830570246
S5_ema_20,6.99487e-06,0.0015990575511819816,0.002621712628751993,0.074786074,0.0966824123715286,0.46297551102103557,0.21148133261737231
D8_ema_20,2.072955e-05,0.001754584201278353,0.0017317056190222502,0.22163124,0.10608588362762258,0.30580670250136216,0.21117460998464788
M4_ema_20,1.4595743e-05,0.0027588221152268,0.0017074871575459838,0.15605126,0.16680423866351196,0.30152989715849166,0.20812846634505378
E19_trend,1.2858201e-05,0.0015466722136295297,0.0022194762714207172,0.13747424,0.09351508371364248,0.39194347606633656,0.20764426621750234
S5_vol_norm_5,1.671065e-05,0.0021997403133867444,0.0017144862795248628,0.17866293,0.1330009666831116,0.30276589153839917,0.20480992806004805
V10_rolling_mean_20,3.8598782e-07,7.329170233372206e-05,0.003421294502913952,0.0041268123,0.0044313718309903485,0.6041758938293944,0.20424469266392106
E19,2.370157e-05,0.0034769098200792214,0.0008394536562263966,0.25340676,0.2102213449134703,0.14824145148772427,0.20395651982599228
S5_rolling_std_5,1.5018109e-05,0.0018907561004261164,0.0019001675536856055,0.16056702,0.11431912557509766,0.3355558631961735,0.20348066806024692
M12_trend,2.520292e-05,0.001586320354470827,0.0013872124254703522,0.26945856,0.09591229443301233,0.24497169313426728,0.20344751656765866
V7_ema_5,1.9885429e-06,0.0003139158959231558,0.003224325831979513,0.021260627,0.018980021123809063,0.5693926494413869,0.20321109905976323
P8_rolling_std_10,1.1916197e-05,0.0017662516998686595,0.002124442020431161,0.12740274,0.10679132534810251,0.37516111386772455,0.2031183923175097
M1_vol_5,6.7308594e-07,4.299796741905615e-05,0.0033936963882297277,0.0071963393,0.0025997483418116396,0.5993022661445676,0.20303278459977336
M2_lag5,7.3974684e-06,0.0021281080959566047,0.0022724212612956762,0.07909048,0.12866993083043166,0.40129317880436366,0.2030178643738159
M17_lag60,4.8354286e-06,0.0002730903258950423,0.003059682436287403,0.05169828,0.01651162053757426,0.5403178151438237,0.20284257143904608
S2_lag40,1.8958452e-05,0.00264408549449201,0.001380637870170176,0.20269543,0.1598670191295452,0.24381067416275473,0.20212437420580123
V7_rolling_mean_5,1.623605e-05,0.001022667336833627,0.002077004872262478,0.17358871,0.06183263704646316,0.3667840561864518,0.20073513375867114
M1_ema_60,4.1853968e-07,7.259491467919155e-05,0.0033581398893147707,0.0044748425,0.0043892425709765905,0.5930232452958534,0.20062911010735604
E11_rolling_mean_10,4.950499e-07,2.686034990510011e-05,0.0033640190958976746,0.005292856,0.0016240337466583736,0.5940614707070854,0.20032612019607268
E7_vol_norm_20,6.7958734e-07,6.474752683751638e-05,0.003274340648204088,0.0072658495,0.003914772851742693,0.5782249046802911,0.19646850901221788
P8_lag1,2.5172913e-06,0.0003641505730920591,0.003004025435075164,0.026913771,0.022017316291706234,0.5304891907951661,0.19314009283089614
P8_rolling_std_60,6.4957e-06,0.0012525237245619603,0.0024453336372971535,0.06944917,0.07573024195014781,0.43182825528955926,0.19233588955453973
V13_ema_20,4.332363e-06,0.001159410294748231,0.0025807225611060858,0.046319723,0.0701004064186349,0.4557369611864625,0.19071903024478995
V7_rolling_std_5,1.0665097e-05,0.001364868838336697,0.002096114680171013,0.11402653,0.08252286589908989,0.37015871021410524,0.18890270256343514
M2_rolling_std_10,1.2760168e-05,0.001081157984747394,0.0020598892588168383,0.1364261,0.0653691057228386,0.36376156249491187,0.1885189247710215
S12_return_60d,3.6132137e-06,0.001047837175095856,0.002623017644509673,0.038630895,0.06335445887232223,0.46320596737642566,0.18839710718844957
S12_lag40,8.271358e-06,0.0013959497025332833,0.0022168292198330164,0.08843372,0.0844020808947582,0.39147602587821345,0.18810394231480773
E19_rolling_std_20,3.335059e-06,0.0007336595210904572,0.0027303884271532297,0.035656985,0.04435861129947118,0.48216687194619634,0.1873941560470451
E11_lag60,1.4737185e-05,0.0012279405911512996,0.0018704930553212762,0.15756351,0.07424389354446538,0.3303155611532077,0.18737432075152946
M2_rolling_mean_5,8.053881e-06,0.0019260071675755719,0.0020148404873907566,0.08610856,0.11645047988949421,0.35580627489278127,0.1861217708874001
S5_vol_norm_60,7.474752e-06,0.001789707773684901,0.002092149807140231,0.07991676,0.10820952933934885,0.36945854227905833,0.18586161064794635
V13_rolling_std_60,9.869962e-06,0.001771079952920196,0.0019476088928058743,0.1055253,0.10708325177202496,0.3439336609692209,0.18551407088265884
S12_lag10,7.733878e-06,0.0017400424262541403,0.0020725091453641653,0.08268723,0.10520665705540466,0.3659901432932801,0.1846280097555868
S8,7.63621e-06,0.0015486491289107064,0.0021254001185297966,0.08164301,0.09363461220609544,0.3753303070706559,0.1835359756574754
S5_vol_norm_20,1.0239466e-05,0.0015846836894394811,0.001953140366822481,0.10947587,0.0958133381925958,0.3449104793212602,0.18339989697485257
V13_return_20d,8.137765e-06,0.0015438791737560687,0.002094320487231016,0.08700541,0.09334621059671402,0.3698418687021274,0.18339782863898657
E12_vol_norm_5,1.1003037e-05,0.001244725895433041,0.0020105934236198664,0.11763964,0.07525876865583916,0.35505627411157326,0.18265156041697891
S5,1.44418345e-05,0.0017913020534353397,0.0016114049358293414,0.15440574,0.10830592287575007,0.2845624709000026,0.18242471221981163
E7_trend,8.266017e-07,6.757717187353408e-05,0.0030096923001110554,0.008837663,0.004085859194466937,0.5314899182231482,0.1814711466849496
E19_rolling_mean_10,4.7926324e-06,0.0008691007064279277,0.002485331380739808,0.05124072,0.05254767273957171,0.43889156783837446,0.1808933201442593
V10_return_20d,7.144534e-07,6.716061267498796e-05,0.0030042666476219893,0.0076386216,0.004060673141481403,0.5305317871884193,0.1807436939798529
S2_lag10,9.707896e-06,0.0016902987928047231,0.0019034008728340268,0.10379256,0.10219905143266783,0.3361268440003309,0.1807061528379288
E19_rolling_mean_20,9.817864e-06,0.0016133572238756111,0.0019111555302515626,0.104968295,0.0975470009231548,0.33749626048072745,0.18000385196839563
M2_lag60,3.9431397e-06,0.0009113514595063266,0.0024976793210953474,0.042158317,0.055102242916932706,0.44107212490380865,0.17944422821386707
M2_vol_norm_20,5.4598763e-06,0.0012603109539681134,0.0022517701145261526,0.0583746,0.07620107436272788,0.39764633546847067,0.17740733615117354
S12_lag20,5.763892e-06,0.0011851046848241342,0.002255556872114539,0.061625004,0.07165394376012528,0.39831504950309415,0.17719799902597222
V7_ema_20,3.9815e-06,0.0005656705630834979,0.0025593796744942665,0.04256845,0.03420164246499309,0.4519679615915394,0.17624601766250378
V9,7.2807825e-06,0.0011674154961240023,0.0021527071949094534,0.07784293,0.07058441787898374,0.3801525394933529,0.1761932952805059
S5_lag5,8.266046e-06,0.0017614762482079604,0.0018806069856509566,0.08837693,0.10650259140830233,0.3321016081865334,0.17566037714699254
M4_return_60d,6.0635343e-06,0.001113829652833298,0.0022269352339208126,0.06482864,0.06734450409696979,0.39326067496040923,0.1751446069233482
P8_vol_60,2.6072244e-06,0.0006574888886488051,0.0025848611257970333,0.027875297,0.039753173245737336,0.45646780181394847,0.1746987572770707
S5_rolling_mean_10,4.638092e-06,0.0008292708989937614,0.0024018846452236176,0.04958844,0.050139478072542876,0.42415547716430385,0.17462779902853387
V7_lag20,1.75157e-05,0.0014099192929160286,0.00142318953294307,0.18727016,0.0852467119695107,0.2513249904158115,0.1746139556250228
S5_lag60,4.971681e-06,0.0010661238465546675,0.002296695252880454,0.053155027,0.06446010982877257,0.40557979036324854,0.17439830917398094
D1_lag1,4.483809e-07,8.840836699248733e-05,0.0028983347583562136,0.0047938917,0.005345357450295008,0.5118249807946185,0.17398807664271143
M12_lag60,6.739497e-06,0.0013134519959336788,0.002095982199534774,0.07205574,0.0794140945128593,0.3701353150907838,0.17386838391607592
E11_rolling_std_20,8.0194155e-07,0.00016014666061389126,0.002842066576704383,0.008574007,0.009682806894567722,0.5018884263954883,0.17338174678968707
M2_lag1,8.0966465e-06,0.001611982075248808,0.0018946317723020911,0.086565785,0.0974638565194337,0.33457828419425467,0.17286930860789507
V10_ema_60,1.605739e-06,4.453742867603916e-05,0.0028163709212094545,0.017167857,0.002692827435786466,0.49735075926015165,0.17240381453757445
M17_return_5d,8.9740015e-06,0.0015620263141074564,0.0018459521234035492,0.09594608,0.09444342520635705,0.32598180985989733,0.17212377201631315
