number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.7928451845556485,2025-10-18 20:21:25.466407,2025-10-18 20:21:27.362723,0 days 00:00:01.896316,0.6,0.0862735828664018,7,2,250,0.0,0.9,0.8,COMPLETE
1,0.8408946059033386,2025-10-18 20:21:27.363327,2025-10-18 20:21:28.075756,0 days 00:00:00.712429,1.0,0.04170553216181044,3,3,350,0.2,0.2,1.0,COMPLETE
2,0.7694558295566947,2025-10-18 20:21:28.076163,2025-10-18 20:21:28.875162,0 days 00:00:00.798999,0.9,0.02408207265453542,5,2,200,0.30000000000000004,0.4,0.7,COMPLETE
3,0.6376166601210675,2025-10-18 20:21:28.875681,2025-10-18 20:21:29.587976,0 days 00:00:00.712295,0.8,0.05254210669345883,4,1,300,0.6000000000000001,0.1,0.8,COMPLETE
4,0.5075642727712769,2025-10-18 20:21:29.588495,2025-10-18 20:21:29.837733,0 days 00:00:00.249238,0.7,0.08580222514877409,8,1,100,0.7000000000000001,0.4,1.0,COMPLETE
5,0.7350048724841329,2025-10-18 20:21:29.838165,2025-10-18 20:21:30.260660,0 days 00:00:00.422495,0.7,0.022039920190846215,3,7,150,0.30000000000000004,0.5,1.0,COMPLETE
6,0.5488975020235167,2025-10-18 20:21:30.261067,2025-10-18 20:21:31.712141,0 days 00:00:01.451074,1.0,0.008699037355645861,8,9,300,0.6000000000000001,1.0,0.9,COMPLETE
7,0.46251814184084833,2025-10-18 20:21:31.712565,2025-10-18 20:21:31.961879,0 days 00:00:00.249314,0.7,0.008993931736681457,3,3,100,0.9,0.30000000000000004,0.7,COMPLETE
8,0.47617385800336004,2025-10-18 20:21:31.962423,2025-10-18 20:21:32.361975,0 days 00:00:00.399552,0.6,0.025411709798607296,3,10,200,0.8,0.2,1.0,COMPLETE
9,0.7494891206524356,2025-10-18 20:21:32.362412,2025-10-18 20:21:32.896753,0 days 00:00:00.534341,0.9,0.057532041236250865,7,1,100,0.30000000000000004,0.1,0.9,COMPLETE
10,0.8060004821501208,2025-10-18 20:21:32.897159,2025-10-18 20:21:34.702581,0 days 00:00:01.805422,1.0,0.005090641565719821,5,5,450,0.0,0.7000000000000001,0.6,COMPLETE
11,0.8113658125331532,2025-10-18 20:21:34.703007,2025-10-18 20:21:38.066558,0 days 00:00:03.363551,1.0,0.005102700679833443,5,5,450,0.0,0.7000000000000001,0.6,COMPLETE
12,0.7154406325365446,2025-10-18 20:21:38.067128,2025-10-18 20:21:43.960589,0 days 00:00:05.893461,1.0,0.03557555569625835,6,5,450,0.1,0.7000000000000001,0.6,COMPLETE
13,0.7868923826179685,2025-10-18 20:21:43.961193,2025-10-18 20:21:46.052110,0 days 00:00:02.090917,0.9,0.009882047282885798,4,4,400,0.2,0.7000000000000001,0.7,COMPLETE
14,0.7415341426043508,2025-10-18 20:21:46.052674,2025-10-18 20:21:47.962576,0 days 00:00:01.909902,1.0,0.01506822285796072,4,7,400,0.4,0.0,0.9,COMPLETE
15,0.7833831582649945,2025-10-18 20:21:47.963211,2025-10-18 20:21:52.140157,0 days 00:00:04.176946,0.9,0.005573350082704414,6,7,500,0.1,0.6000000000000001,0.6,COMPLETE
16,0.8071977158874076,2025-10-18 20:21:52.140722,2025-10-18 20:21:55.287647,0 days 00:00:03.146925,0.8,0.042740104157732405,5,4,350,0.1,0.9,0.8,COMPLETE
17,0.6729500640923721,2025-10-18 20:21:55.288253,2025-10-18 20:21:57.551854,0 days 00:00:02.263601,1.0,0.01440385559245158,4,6,500,0.5,0.30000000000000004,0.7,COMPLETE
18,0.7749818114823662,2025-10-18 20:21:57.552742,2025-10-18 20:22:00.939408,0 days 00:00:03.386666,0.8,0.0325509001717206,6,3,350,0.2,0.5,0.9,COMPLETE
19,0.4734618995233732,2025-10-18 20:22:00.939951,2025-10-18 20:22:01.723187,0 days 00:00:00.783236,0.9,0.01703479718876248,3,4,400,1.0,0.8,0.8,COMPLETE
20,0.6796545646370703,2025-10-18 20:22:01.723650,2025-10-18 20:22:05.328552,0 days 00:00:03.604902,1.0,0.056574450794642316,7,6,350,0.0,0.0,1.0,COMPLETE
21,0.763706976670206,2025-10-18 20:22:05.329209,2025-10-18 20:22:07.059486,0 days 00:00:01.730277,0.8,0.03788314025313953,5,4,350,0.1,1.0,0.8,COMPLETE
22,0.7875275575259929,2025-10-18 20:22:07.059897,2025-10-18 20:22:08.903417,0 days 00:00:01.843520,0.8,0.04601283472210687,5,3,450,0.2,0.9,0.7,COMPLETE
