feature,importance
E19_rolling_std_5_X_E19_vol_regime_60,0.003105219
V7_vol_norm_60_SUB_E19_vol_regime_60,0.003038069
V13_vol_norm_20_X_S2_ema_60,0.002937423
I2_trend_SUB_V10_lag40,0.0028308094
E19_rolling_std_5_ADD_M2_rolling_mean_10,0.0028297582
I2_trend_X_E19_vol_regime_60,0.0026598263
I2_trend_DIV_V10_lag40,0.0025867799
V13_vol_norm_20_ADD_V13,0.0025671846
M2_rolling_mean_10_SUB_V13,0.0025650568
E19_vol_norm_20_ADD_M4_vol_norm_5,0.002544843
V7_vol_norm_60_X_P10,0.0025360468
P8_trend_X_V13,0.0025255
M4_SUB_P10,0.0025150965
E19_lag5_SUB_V10_lag40,0.0025078822
S2_ema_60_DIV_E19_vol_regime_60,0.002482957
V13_vol_norm_20_SUB_M4_vol_norm_5,0.0024532678
V13_vol_norm_20_DIV_V10_lag40,0.0024510785
D8_trend_ADD_P10,0.002431009
V13_vol_norm_20_SUB_E19_vol_regime_60,0.0024133371
M4_SUB_V7_vol_norm_60,0.0024124673
M4_X_V13_lag1,0.0024077636
V13_vol_norm_20_X_E19_vol_norm_20,0.0023956916
V7_vol_norm_60_SUB_P10,0.0023855546
P8_trend_ADD_P10,0.002361244
V7_vol_norm_60_ADD_V13,0.0023539334
V7_vol_norm_60_SUB_S2_ema_60,0.0023530708
P7_X_V13,0.0023349605
M4_vol_norm_20_DIV_V13_lag1,0.0023263153
S2_ema_60_X_E19_vol_norm_20,0.0022950962
E12_rolling_mean_5_X_M4_vol_norm_5,0.0022904808
E12_rolling_mean_5_SUB_E19_lag5,0.002264246
E19_vol_regime_60_SUB_P10,0.0022461172
V13_vol_norm_20_SUB_P8_trend,0.0022051637
E12_rolling_mean_5_DIV_V13,0.0021986892
P8_trend_ADD_M4_vol_norm_5,0.002196333
V10_lag40_SUB_V13,0.0021954533
E12_rolling_mean_5_X_P10,0.0021899785
V13_lag1_ADD_V10_lag40,0.002175379
M4_vol_norm_20_ADD_D8_trend,0.0021721446
V13_ADD_P10,0.002170604
E19_lag5_ADD_P7,0.0021658174
M4_vol_norm_20_ADD_M4_vol_norm_5,0.0021650626
M2_rolling_mean_10_DIV_E19_lag5,0.0021632188
M2_rolling_mean_10_ADD_P10,0.0021534793
I2_trend_ADD_M2_rolling_mean_10,0.0021306854
M4_ADD_E19_vol_regime_60,0.0021157195
P7_SUB_V10_lag40,0.002102655
E19_rolling_std_5_SUB_V7_vol_norm_60,0.0020903652
M4_ADD_E12_rolling_mean_5,0.0020804105
I2_trend_X_V13,0.0020775592
V7_vol_norm_60_ADD_E12_rolling_mean_5,0.0020529898
V7_vol_norm_60_DIV_E19_lag5,0.0020454463
E19_vol_regime_60_DIV_E12_rolling_mean_5,0.0020451627
P8_trend_X_E19_vol_regime_60,0.0020423566
P8_trend_DIV_S2_ema_60,0.002042288
E12_rolling_mean_5_ADD_V13,0.0020404165
E19_rolling_std_5_ADD_E12_rolling_mean_5,0.0020296397
S2_ema_60_DIV_P10,0.002020742
P8_trend_ADD_M2_rolling_mean_10,0.002019909
V7_vol_norm_60_X_M2_rolling_mean_10,0.002018766
V13_vol_norm_20_ADD_P8_trend,0.0020168177
V13_lag1_ADD_V13,0.00201202
M4_vol_norm_20_ADD_E12_rolling_mean_5,0.0020102318
V13_vol_norm_20_DIV_P8_trend,0.0020080123
E12_rolling_mean_5_X_E19_lag5,0.0019898035
P7_SUB_V13,0.0019784006
I2_trend_X_E19_lag5,0.0019722602
E19_lag5_ADD_P10,0.0019712984
E12_rolling_mean_5_X_V10_lag40,0.0019625844
V7_vol_norm_60_DIV_P10,0.0019609581
E19_rolling_std_5_DIV_M2_rolling_mean_10,0.0019590177
I2_trend_X_V10_lag40,0.0019520542
V13_X_P10,0.0019486514
M2_rolling_mean_10_ADD_E19_vol_norm_20,0.0019350225
M4_X_E19_vol_regime_60,0.0019349133
E19_vol_regime_60_X_M2_rolling_mean_10,0.0019298388
M4_SUB_M2_rolling_mean_10,0.0019270885
V7_vol_norm_60_SUB_E19_vol_norm_20,0.0019264838
E19_lag5_X_P7,0.0019206215
E19_vol_norm_20_SUB_P7,0.0019176204
V13_DIV_P10,0.0019120664
P8_trend_ADD_E19_vol_regime_60,0.0019107872
E19_rolling_std_5_SUB_E12_rolling_mean_5,0.0019078751
E19_vol_regime_60_SUB_V13,0.0019049236
E19_rolling_std_5_X_E19_lag5,0.0019025989
V13_vol_norm_20_ADD_V10_lag40,0.0018906165
M2_rolling_mean_10_DIV_E12_rolling_mean_5,0.0018863006
M2_rolling_mean_10_X_E19_vol_norm_20,0.0018838788
M4_vol_norm_5_SUB_V13,0.0018786831
D8_trend_SUB_E12_rolling_mean_5,0.0018771891
S2_ema_60_ADD_P10,0.0018698587
M4_vol_norm_5_DIV_V13,0.0018663787
M4_SUB_P8_trend,0.0018617968
