feature,importance
E19_rolling_std_5_X_E19_vol_regime_60,0.003105219
V7_vol_norm_60_SUB_E19_vol_regime_60,0.003038069
V13_vol_norm_20_X_S2_ema_60,0.002937423
I2_trend_SUB_V10_lag40,0.0028308094
E19_rolling_std_5_ADD_M2_rolling_mean_10,0.0028297582
I2_trend_X_E19_vol_regime_60,0.0026598263
I2_trend_DIV_V10_lag40,0.0025867799
V13_vol_norm_20_ADD_V13,0.0025671846
M2_rolling_mean_10_SUB_V13,0.0025650568
E19_vol_norm_20_ADD_M4_vol_norm_5,0.002544843
V7_vol_norm_60_X_P10,0.0025360468
P8_trend_X_V13,0.0025255
M4_SUB_P10,0.0025150965
E19_lag5_SUB_V10_lag40,0.0025078822
S2_ema_60_DIV_E19_vol_regime_60,0.002482957
V13_vol_norm_20_SUB_M4_vol_norm_5,0.0024532678
V13_vol_norm_20_DIV_V10_lag40,0.0024510785
D8_trend_ADD_P10,0.002431009
V13_vol_norm_20_SUB_E19_vol_regime_60,0.0024133371
M4_SUB_V7_vol_norm_60,0.0024124673
