feature,importance
cross_vol_MV,0.038961165
V13*I2,0.038856857
I2*E19,0.03567357
M4/P8,0.034962084
vol_composite_V,0.03435381
P8²,0.03427431
P5/P7,0.033341687
M4/V7,0.033268567
V7/P8,0.032753255
sentiment_dispersion,0.03228674
M4/E19,0.032258715
V7*I2,0.032251727
M4/P7,0.032158013
V13/P7,0.032094143
V13/S2,0.031929947
V7*P5,0.031557903
vol_composite_V_all,0.03049597
V7/P7,0.030016365
P8/P5,0.029509116
I2/S5,0.02886521
M4²,0.028606892
M4/P5,0.027741889
S5/P7,0.027333094
vol_mean_V,0.027115308
S2/P5,0.026659789
M4*P8,0.026456235
V7*P7,0.025608398
M4/I2,0.025559397
S2*S5,0.023959624
V13²,0.023294955
P8/P7,0.022221038
M4*V7,0.019968636
M4/S2,0.019798208
P8*S2,0.015807472
P5,0.0
