feature,importance,abs_correlation,combined_score
vol_mean_V,0.11137725572670776,0.04168620655923497,0.09046994097646592
vol_composite_V_all,0.06512331946560915,0.04270136098376891,0.05839673192105707
vol_composite_V,0.049311970204023906,0.04355911873381169,0.04758611476296024
cross_vol_MV,0.04553768838666361,0.045160130729293806,0.045424421089452674
sentiment_dispersion,0.046803848168246426,0.034191601876993674,0.0430201742808706
vol_composite_V_weighted,0.04027201632762586,0.04762396985847982,0.042477602386882043
V_cv,0.0512061470160888,0.010860102659798254,0.03910233370920163
feature_stability,0.04251715327262941,0.02147196304381599,0.03620359620398538
total_magnitude,0.032141746538563935,0.03940445589061957,0.03432055934418062
sentiment_abs_sum,0.03850387992658225,0.02310480730284176,0.03388415813946011
