feature,importance,abs_correlation,combined_score
vol_mean_V,0.11137725572670776,0.04168620655923497,0.09046994097646592
vol_composite_V_all,0.06512331946560915,0.04270136098376891,0.05839673192105707
vol_composite_V,0.049311970204023906,0.04355911873381169,0.04758611476296024
cross_vol_MV,0.04553768838666361,0.045160130729293806,0.045424421089452674
sentiment_dispersion,0.046803848168246426,0.034191601876993674,0.0430201742808706
vol_composite_V_weighted,0.04027201632762586,0.04762396985847982,0.042477602386882043
V_cv,0.0512061470160888,0.010860102659798254,0.03910233370920163
feature_stability,0.04251715327262941,0.02147196304381599,0.03620359620398538
total_magnitude,0.032141746538563935,0.03940445589061957,0.03432055934418062
sentiment_abs_sum,0.03850387992658225,0.02310480730284176,0.03388415813946011
price_range,0.043308347179918404,0.0033642373952382345,0.031325114244514354
M_cv,0.04102419708548743,0.007924151670660845,0.03109418346103945
cross_vol_all,0.026271032897117,0.039619257172071716,0.030275500179603412
sentiment_volatility,0.032060139247356734,0.023812369924754422,0.02958580845057604
normalized_vol,0.03552919230696865,0.012393316089070737,0.028588429441599277
cross_vol_MVP,0.02476706763060869,0.03745886904474495,0.02857460805484957
market_turbulence_weighted,0.02860869570840576,0.027622698533553203,0.02831289655594999
P_cv,0.03810153611496798,0.004774176482879803,0.028103328225341527
market_abs_sum,0.02870094254892714,0.02311096184279521,0.02702394833708756
price_dispersion_all,0.03092239279621554,0.0175593194810447,0.02691347080166429
market_turbulence_all,0.031902504639661336,0.013050857867952553,0.0262470106081487
price_dispersion,0.024276788707109438,0.01073568614104925,0.020214457937291378
price_volatility,0.023363061181413746,0.009471616240888173,0.019195627699256073
market_turbulence,0.014009388455600432,0.027065071085206963,0.01792609324448239
market_vol_ratio,0.019174404310653488,0.007564025611145185,0.015691290700800997
vol_market_ratio,0.02034704406544073,0.00014080434127906546,0.01428517214819223
market_stability,0.014838240091406232,0.008906130005358748,0.013058607065591987
