feature,type
E19,original
V7,original
S8,original
V13,original
P5,original
E2,original
E3,original
V9,original
E20,original
P2,original
P10,original
I9,original
E12,original
V1,original
E17,original
E1,original
P8,original
I2,original
E10,original
E18,original
M17,original
M4,original
I4,original
E16,original
I5,original
M10,original
S2,original
E8,original
V5,original
P6,original
V8,original
V10,original
M18,original
P11,original
M1,original
S7,original
V6,original
S5,original
E9,original
E15,original
M11,original
M5,original
V12,original
I3,original
M8,original
I1,original
P9,original
E11,original
I8,original
M13,original
E5,original
M3,original
S1,original
I7,original
E6,original
M7,original
M15,original
S9,original
M12,original
P7,original
S3,original
M9,original
P1,original
S11,original
S4,original
I6,original
M2,original
M16,original
V2,original
P12,original
S10,original
P4,original
M14,original
M6,original
V4,original
V11,original
P3,original
E13,original
V3,original
S12,original
P13,original
E7,original
E14,original
D6,original
D9,original
D4,original
D7,original
E4,original
D3,original
D2,original
D8,original
S6,original
D5,original
D1,original
day_sin,datetime
day_cos,datetime
week_sin,datetime
week_cos,datetime
month_sin,datetime
month_cos,datetime
M_mean,category_stat
M_std,category_stat
M_min,category_stat
M_max,category_stat
M_range,category_stat
M_median,category_stat
M_skew_proxy,category_stat
V_mean,category_stat
V_std,category_stat
V_min,category_stat
V_max,category_stat
V_range,category_stat
V_median,category_stat
V_skew_proxy,category_stat
P_mean,category_stat
P_std,category_stat
P_min,category_stat
P_max,category_stat
P_range,category_stat
P_median,category_stat
P_skew_proxy,category_stat
S_mean,category_stat
S_std,category_stat
S_min,category_stat
S_max,category_stat
S_range,category_stat
S_median,category_stat
S_skew_proxy,category_stat
I_mean,category_stat
I_std,category_stat
I_min,category_stat
I_max,category_stat
I_range,category_stat
I_median,category_stat
I_skew_proxy,category_stat
E_mean,category_stat
E_std,category_stat
E_min,category_stat
E_max,category_stat
E_range,category_stat
E_median,category_stat
E_skew_proxy,category_stat
E19_log,nonlinear
E19_sqrt,nonlinear
E19_squared,nonlinear
V7_log,nonlinear
V7_sqrt,nonlinear
V7_squared,nonlinear
S8_log,nonlinear
S8_sqrt,nonlinear
S8_squared,nonlinear
V13_log,nonlinear
V13_sqrt,nonlinear
V13_squared,nonlinear
P5_log,nonlinear
P5_sqrt,nonlinear
P5_squared,nonlinear
E2_log,nonlinear
E2_sqrt,nonlinear
E2_squared,nonlinear
E3_log,nonlinear
E3_sqrt,nonlinear
E3_squared,nonlinear
V9_log,nonlinear
V9_sqrt,nonlinear
V9_squared,nonlinear
E20_log,nonlinear
E20_sqrt,nonlinear
E20_squared,nonlinear
P2_log,nonlinear
P2_sqrt,nonlinear
P2_squared,nonlinear
P10_log,nonlinear
P10_sqrt,nonlinear
P10_squared,nonlinear
I9_log,nonlinear
I9_sqrt,nonlinear
I9_squared,nonlinear
E12_log,nonlinear
E12_sqrt,nonlinear
E12_squared,nonlinear
V1_log,nonlinear
V1_sqrt,nonlinear
V1_squared,nonlinear
E17_log,nonlinear
E17_sqrt,nonlinear
E17_squared,nonlinear
E1_log,nonlinear
E1_sqrt,nonlinear
E1_squared,nonlinear
P8_log,nonlinear
P8_sqrt,nonlinear
P8_squared,nonlinear
I2_log,nonlinear
I2_sqrt,nonlinear
I2_squared,nonlinear
E10_log,nonlinear
E10_sqrt,nonlinear
E10_squared,nonlinear
E18_log,nonlinear
E18_sqrt,nonlinear
E18_squared,nonlinear
vol_composite,volatility
vol_mean,volatility
vol_max,volatility
market_vol,volatility
price_dispersion,volatility
sentiment_dispersion,volatility
econ_uncertainty,volatility
M4_to_V13,ratio
P8_to_V7,ratio
S2_to_E19,ratio
M_to_V_mean,ratio
P_to_V_mean,ratio
S_to_E_mean,ratio
E19*V7,interaction
E19/V7,interaction
E19*S8,interaction
E19/S8,interaction
E19*V13,interaction
E19/V13,interaction
E19*P5,interaction
E19/P5,interaction
E19*E2,interaction
E19/E2,interaction
E19*E3,interaction
E19/E3,interaction
E19*V9,interaction
E19/V9,interaction
E19*E20,interaction
E19/E20,interaction
E19*P2,interaction
E19/P2,interaction
V7*S8,interaction
V7/S8,interaction
V7*V13,interaction
V7/V13,interaction
V7*P5,interaction
V7/P5,interaction
V7*E2,interaction
V7/E2,interaction
V7*E3,interaction
V7/E3,interaction
V7*V9,interaction
V7/V9,interaction
V7*E20,interaction
V7/E20,interaction
V7*P2,interaction
V7/P2,interaction
S8*V13,interaction
S8/V13,interaction
S8*P5,interaction
S8/P5,interaction
S8*E2,interaction
S8/E2,interaction
S8*E3,interaction
S8/E3,interaction
S8*V9,interaction
S8/V9,interaction
S8*E20,interaction
S8/E20,interaction
S8*P2,interaction
S8/P2,interaction
V13*P5,interaction
V13/P5,interaction
V13*E2,interaction
V13/E2,interaction
V13*E3,interaction
V13/E3,interaction
V13*V9,interaction
V13/V9,interaction
V13*E20,interaction
V13/E20,interaction
V13*P2,interaction
V13/P2,interaction
P5*E2,interaction
P5/E2,interaction
P5*E3,interaction
P5/E3,interaction
P5*V9,interaction
P5/V9,interaction
P5*E20,interaction
P5/E20,interaction
P5*P2,interaction
P5/P2,interaction
E2*E3,interaction
E2/E3,interaction
E2*V9,interaction
E2/V9,interaction
E2*E20,interaction
E2/E20,interaction
E2*P2,interaction
E2/P2,interaction
E3*V9,interaction
E3/V9,interaction
E3*E20,interaction
E3/E20,interaction
E3*P2,interaction
E3/P2,interaction
V9*E20,interaction
V9/E20,interaction
V9*P2,interaction
V9/P2,interaction
E20*P2,interaction
E20/P2,interaction
