feature,mi_score,type
V7_sqrt,0.10906745802351292,nonlinear
E19,0.10858962176111486,original
V7_log,0.10829023670010507,nonlinear
E19_sqrt,0.10810357118093616,nonlinear
E19_log,0.10788141309401844,nonlinear
V7,0.10428315600903382,original
V7/E2,0.10132223074746038,interaction
V7/E3,0.0989324969154417,interaction
V7/V13,0.09140546507335756,interaction
V7/P2,0.09026452300708421,interaction
E19/E2,0.0890534336425044,interaction
E19/E3,0.08642726581619886,interaction
V13_sqrt,0.08521569515931748,nonlinear
V13_log,0.08159949168462788,nonlinear
S8_sqrt,0.08107858198190776,nonlinear
S8_log,0.08040808443337522,nonlinear
S8,0.08025272843542819,original
V13,0.07883124691918297,original
V7*E20,0.0778996369770919,interaction
V13/E2,0.07655959343325502,interaction
P5_log,0.0751107334075991,nonlinear
S8/E3,0.0749394521589708,interaction
P5,0.07429408351961975,original
V13/E3,0.07399715069090007,interaction
E19/P2,0.07385670087284213,interaction
P5_sqrt,0.07251164686009037,nonlinear
V9/E20,0.07076232495735013,interaction
E2_sqrt,0.06951362965733221,nonlinear
E2_log,0.06765975799460833,nonlinear
E3_sqrt,0.06741955303261538,nonlinear
E19*E20,0.06566292876458846,interaction
E3_log,0.06523513148620985,nonlinear
E2,0.06335688198379508,original
V9_sqrt,0.06299429846540505,nonlinear
V13*E20,0.06259504632706836,interaction
S8/E20,0.06203495780863122,interaction
V9_log,0.060908552052402865,nonlinear
V9,0.06075733144715301,original
P5*E20,0.06063499174221487,interaction
E3,0.06040161602384231,original
V13/P2,0.05967762725242087,interaction
V7*P2,0.059605015370824965,interaction
V7*E2,0.05924712042159275,interaction
S8/P2,0.05720833901953881,interaction
E19*P2,0.05618506061166162,interaction
E20,0.05581725439333951,original
E19*S8,0.05483858419383214,interaction
E_range,0.05401379772172632,category_stat
E19*E3,0.05379734749401077,interaction
V_mean,0.05377713382878291,category_stat
vol_mean,0.05362374609014786,volatility
P10_sqrt,0.05337978970901247,nonlinear
I9_log,0.053331844892799296,nonlinear
V9/P2,0.05306250542516633,interaction
E19*P5,0.05252255287983676,interaction
V1_sqrt,0.05232543634235931,nonlinear
E1_sqrt,0.051780417270134826,nonlinear
S8/E2,0.051756188544238135,interaction
econ_uncertainty,0.05174069665143932,volatility
E_std,0.05174069665143932,category_stat
P8_sqrt,0.051648992722638454,nonlinear
P2_log,0.05145552396606501,nonlinear
P2_sqrt,0.051359206407084024,nonlinear
I9_sqrt,0.05132497839787398,nonlinear
E19_squared,0.05125420897824595,nonlinear
E20_log,0.05123808236353522,nonlinear
P2,0.05105817353995867,original
I9,0.05075233354075692,original
E1_log,0.05033576537523743,nonlinear
P5_squared,0.050252862069107174,nonlinear
P10_log,0.04991814057297894,nonlinear
E20_sqrt,0.04989431856065263,nonlinear
E19*E2,0.04930916207125424,interaction
P10,0.04903005185513809,original
E17,0.04843459638916059,original
E19*V13,0.048401444513248126,interaction
P5*E2,0.04838889194102869,interaction
V9*E20,0.048345707048838005,interaction
V7*E3,0.048254064350180315,interaction
E1,0.04812509196160608,original
S8*E3,0.04809647151230312,interaction
