feature,mi_score,type
V7_sqrt,0.1090674580235129,nonlinear
E19,0.1085896217611148,original
V7_log,0.108290236700105,nonlinear
E19_sqrt,0.1081035711809361,nonlinear
E19_log,0.1078814130940184,nonlinear
V7,0.1042831560090338,original
V7/E2,0.1013222307474603,interaction
V7/E3,0.0989324969154417,interaction
V7/V13,0.0914054650733575,interaction
V7/P2,0.0902645230070842,interaction
E19/E2,0.0890534336425044,interaction
E19/E3,0.0864272658161988,interaction
V13_sqrt,0.0852156951593174,nonlinear
V13_log,0.0815994916846278,nonlinear
S8_sqrt,0.0810785819819077,nonlinear
S8_log,0.0804080844333752,nonlinear
S8,0.0802527284354281,original
V13,0.0788312469191829,original
V7*E20,0.0778996369770919,interaction
V13/E2,0.076559593433255,interaction
P5_log,0.0751107334075991,nonlinear
S8/E3,0.0749394521589708,interaction
P5,0.0742940835196197,original
V13/E3,0.0739971506909,interaction
E19/P2,0.0738567008728421,interaction
P5_sqrt,0.0725116468600903,nonlinear
V9/E20,0.0707623249573501,interaction
E2_sqrt,0.0695136296573322,nonlinear
E2_log,0.0676597579946083,nonlinear
E3_sqrt,0.0674195530326153,nonlinear
E19*E20,0.0656629287645884,interaction
E3_log,0.0652351314862098,nonlinear
E2,0.063356881983795,original
V9_sqrt,0.062994298465405,nonlinear
V13*E20,0.0625950463270683,interaction
S8/E20,0.0620349578086312,interaction
V9_log,0.0609085520524028,nonlinear
V9,0.060757331447153,original
P5*E20,0.0606349917422148,interaction
E3,0.0604016160238423,original
V13/P2,0.0596776272524208,interaction
V7*P2,0.0596050153708249,interaction
V7*E2,0.0592471204215927,interaction
S8/P2,0.0572083390195388,interaction
E19*P2,0.0561850606116616,interaction
E20,0.0558172543933395,original
E19*S8,0.0548385841938321,interaction
E_range,0.0540137977217263,category_stat
E19*E3,0.0537973474940107,interaction
V_mean,0.0537771338287829,category_stat
vol_mean,0.0536237460901478,volatility
P10_sqrt,0.0533797897090124,nonlinear
I9_log,0.0533318448927992,nonlinear
V9/P2,0.0530625054251663,interaction
E19*P5,0.0525225528798367,interaction
V1_sqrt,0.0523254363423593,nonlinear
E1_sqrt,0.0517804172701348,nonlinear
S8/E2,0.0517561885442381,interaction
econ_uncertainty,0.0517406966514393,volatility
E_std,0.0517406966514393,category_stat
P8_sqrt,0.0516489927226384,nonlinear
P2_log,0.051455523966065,nonlinear
P2_sqrt,0.051359206407084,nonlinear
I9_sqrt,0.0513249783978739,nonlinear
E19_squared,0.0512542089782459,nonlinear
E20_log,0.0512380823635352,nonlinear
P2,0.0510581735399586,original
I9,0.0507523335407569,original
E1_log,0.0503357653752374,nonlinear
P5_squared,0.0502528620691071,nonlinear
P10_log,0.0499181405729789,nonlinear
E20_sqrt,0.0498943185606526,nonlinear
E19*E2,0.0493091620712542,interaction
P10,0.049030051855138,original
E17,0.0484345963891605,original
E19*V13,0.0484014445132481,interaction
P5*E2,0.0483888919410286,interaction
V9*E20,0.048345707048838,interaction
V7*E3,0.0482540643501803,interaction
E1,0.048125091961606,original
S8*E3,0.0480964715123031,interaction
E20*P2,0.0477030625801875,interaction
M4,0.0474197132007194,original
E12,0.0469405138887486,original
V7*V13,0.0467857623852481,interaction
V7*P5,0.0467854258177897,interaction
E18,0.0466588503389457,original
P8_log,0.046522864024256,nonlinear
V1_log,0.0463555445802992,nonlinear
V13*E3,0.0462436841036799,interaction
E2/P2,0.0459952614290037,interaction
V13_squared,0.0457097916037327,nonlinear
E10_squared,0.0453956672336497,nonlinear
I4,0.0453948894010913,original
E17_sqrt,0.0450317816169887,nonlinear
I2_log,0.04495373505409,nonlinear
vol_composite,0.0449071819350583,volatility
E3/P2,0.0445015510140058,interaction
S2,0.0444082119724358,original
V_skew_proxy,0.0442000548922774,category_stat
I5,0.0441886664511512,original
E17_log,0.043968371458134,nonlinear
S8_squared,0.0438562203862478,nonlinear
E1_squared,0.0437991610460812,nonlinear
E18_log,0.0437761234162641,nonlinear
