feature,type
M4,base
V13,base
V7,base
P8,base
S2,base
I2,base
E19,base
S5,base
P5,base
P7,base
M2,base
V9,base
M3,base
P12,base
P10,base
V10,base
E12,base
P11,base
M12,base
S8,base
M4*V13,interaction
M4*V7,interaction
M4*P8,interaction
M4*S2,interaction
M4*I2,interaction
M4*E19,interaction
M4*S5,interaction
M4*P5,interaction
M4*P7,interaction
V13*V7,interaction
V13*P8,interaction
V13*S2,interaction
V13*I2,interaction
V13*E19,interaction
V13*S5,interaction
V13*P5,interaction
V13*P7,interaction
V7*P8,interaction
V7*S2,interaction
V7*I2,interaction
V7*E19,interaction
V7*S5,interaction
V7*P5,interaction
V7*P7,interaction
P8*S2,interaction
P8*I2,interaction
P8*E19,interaction
P8*S5,interaction
P8*P5,interaction
P8*P7,interaction
S2*I2,interaction
S2*E19,interaction
S2*S5,interaction
S2*P5,interaction
S2*P7,interaction
I2*E19,interaction
I2*S5,interaction
I2*P5,interaction
I2*P7,interaction
E19*S5,interaction
E19*P5,interaction
E19*P7,interaction
S5*P5,interaction
S5*P7,interaction
P5*P7,interaction
M4/V13,interaction
M4/V7,interaction
M4/P8,interaction
M4/S2,interaction
M4/I2,interaction
M4/E19,interaction
M4/S5,interaction
M4/P5,interaction
M4/P7,interaction
V13/V7,interaction
V13/P8,interaction
V13/S2,interaction
V13/I2,interaction
V13/E19,interaction
V13/S5,interaction
V13/P5,interaction
V13/P7,interaction
V7/P8,interaction
V7/S2,interaction
V7/I2,interaction
V7/E19,interaction
V7/S5,interaction
V7/P5,interaction
V7/P7,interaction
P8/S2,interaction
P8/I2,interaction
P8/E19,interaction
P8/S5,interaction
P8/P5,interaction
P8/P7,interaction
S2/I2,interaction
S2/E19,interaction
S2/S5,interaction
S2/P5,interaction
S2/P7,interaction
I2/E19,interaction
I2/S5,interaction
I2/P5,interaction
I2/P7,interaction
E19/S5,interaction
E19/P5,interaction
E19/P7,interaction
S5/P5,interaction
S5/P7,interaction
P5/P7,interaction
M4²,interaction
M4³,interaction
V13²,interaction
V13³,interaction
V7²,interaction
V7³,interaction
P8²,interaction
P8³,interaction
S2²,interaction
S2³,interaction
