feature,imp_q10,imp_q90,imp_q50,imp_tail
V7/P8,0.013178043,0.085144386,0.008460972,0.049161214
V7/P7,0.025513215,0.009722295,0.009054998,0.017617755
E19,0.0272945,0.0076271854,0.005764109,0.017460842
V7*E19,0.0076361476,0.024399333,0.010490004,0.01601774
V7*P5,0.010464705,0.01970406,0.008453265,0.015084382
V7*P8,0.00788336,0.02032395,0.00774311,0.014103655
V7/S5,0.018426996,0.0078104837,0.009749889,0.01311874
E19/S5,0.013778824,0.010925384,0.009314883,0.012352104
E19/P7,0.013338321,0.011097575,0.009385418,0.012217948
V13*V7,0.009493556,0.0129625,0.007844873,0.011228028
P8/P7,0.0094087245,0.011521804,0.010143189,0.010465264
V7*S2,0.007811875,0.0129868165,0.008559611,0.010399345
V7/S2,0.013471773,0.0072806124,0.009759068,0.010376193
S8,0.011748133,0.008168211,0.007398831,0.009958172
P8/S2,0.011038286,0.008733948,0.010638001,0.009886117
V7/I2,0.0097986525,0.009539735,0.009664412,0.009669194
P8/P5,0.009301992,0.009971335,0.007966874,0.009636663
P8*E19,0.00872078,0.010531294,0.009078679,0.0096260365
V13/S5,0.010341617,0.008709855,0.008631677,0.009525737
V7*P7,0.00709773,0.01181966,0.007886874,0.009458695
I2*S5,0.010380289,0.008357617,0.009995656,0.009368952
S2/P7,0.00870619,0.0099869445,0.010542973,0.009346567
P8²,0.010294112,0.008218867,0.008486983,0.00925649
S2*E19,0.0097091375,0.008757047,0.0076854522,0.009233093
S2*I2,0.010292188,0.008161606,0.009141437,0.009226898
E19*S5,0.011239112,0.006986194,0.008569488,0.009112653
P5/P7,0.008662824,0.0093396725,0.009588889,0.009001248
E12,0.010303695,0.007452681,0.008492642,0.008878188
M4/P7,0.007810894,0.009923635,0.011369747,0.008867265
M4*E19,0.0065987697,0.011009563,0.0100757005,0.008804167
P8/E19,0.008559522,0.008961602,0.009103703,0.008760562
M4/P5,0.00964939,0.0077651646,0.008560442,0.0087072775
V13/I2,0.009464519,0.007857389,0.0092974175,0.0086609535
V13/P5,0.008746072,0.0084824925,0.008585149,0.008614282
V13/P7,0.008140972,0.009012179,0.00896001,0.008576576
V13*S2,0.008924395,0.008168732,0.008781244,0.008546563
S2*S5,0.007890257,0.008964878,0.009266747,0.008427568
S2/S5,0.006611704,0.010166125,0.009537829,0.008388914
P11,0.008597089,0.008153099,0.0073356773,0.008375093
V13*I2,0.0096154995,0.007114044,0.0084525,0.0083647715
S5/P7,0.008000265,0.008704265,0.00946081,0.008352265
P8*P5,0.009433487,0.007263911,0.008142859,0.0083487
S2/P5,0.008840765,0.0078429375,0.009784586,0.008341851
V7/E19,0.00939121,0.007223412,0.00822783,0.008307311
M4*S5,0.008069728,0.008479193,0.008339758,0.00827446
M4/S5,0.009579669,0.0068631466,0.009526396,0.008221407
V10,0.008171312,0.008237439,0.0065226266,0.008204375
I2*P7,0.009017763,0.00724276,0.009225935,0.008130262
S2/I2,0.009061479,0.0070925597,0.008874934,0.00807702
V13*P5,0.009891062,0.006240283,0.009558698,0.008065673
M4*P7,0.008313595,0.007807572,0.0095347585,0.008060584
M4/E19,0.009519687,0.0065923976,0.008838372,0.008056043
P8*S2,0.0076684766,0.008404622,0.009048028,0.008036549
M4/V13,0.008298433,0.007607958,0.009159844,0.007953196
S2/E19,0.007172239,0.008687534,0.009071585,0.007929887
V7/P5,0.010639713,0.0052090054,0.008964294,0.007924359
I2*E19,0.009060142,0.006754124,0.009619368,0.007907133
M4*V7,0.006681111,0.0091321105,0.009496096,0.007906611
M12,0.007726432,0.00802444,0.007308732,0.007875436
I2/P7,0.00781838,0.007928595,0.009762793,0.007873488
E19/P5,0.008534292,0.0072077042,0.009529478,0.007870998
M4*P5,0.008725185,0.0069077034,0.009438131,0.007816444
V7*I2,0.009929933,0.0057019726,0.008079635,0.007815952
P5,0.0062724194,0.009292523,0.006906949,0.0077824714
P10,0.007860588,0.007660017,0.0074660983,0.007760302
S2*P7,0.007215507,0.008187467,0.007644927,0.0077014873
M4/I2,0.00671866,0.008622867,0.009161712,0.0076707634
S5*P7,0.008509371,0.006794416,0.009282852,0.0076518934
I2/E19,0.007411481,0.007887054,0.010133075,0.0076492676
M4/V7,0.0071814223,0.008105525,0.009505662,0.0076434733
V13*S5,0.00872588,0.0064019104,0.008237287,0.007563895
E19*P5,0.009298932,0.005789768,0.010772328,0.00754435
P8*S5,0.008664036,0.0064132935,0.008762165,0.007538665
P8/S5,0.0075124213,0.007444882,0.00961247,0.0074786516
S5*P5,0.0070205885,0.007933288,0.009073248,0.007476938
V7*S5,0.00822153,0.006690373,0.008909848,0.0074559515
P7,0.006544384,0.008246763,0.007384296,0.0073955734
V13/E19,0.007850865,0.0068924343,0.007968921,0.0073716496
M4*I2,0.007489714,0.007231829,0.010590857,0.0073607713
M4*S2,0.008557699,0.0061154757,0.007942178,0.007336587
P8/I2,0.0067358403,0.007888412,0.007495316,0.0073121265
M4*V13,0.007391171,0.007196528,0.008879782,0.0072938493
S2*P5,0.0078073763,0.00671155,0.0094731115,0.007259463
V13*E19,0.007677282,0.006774672,0.00818367,0.0072259773
I2/S5,0.0072899833,0.0070281234,0.010997671,0.0071590533
M4*P8,0.0077712736,0.006509449,0.0070952144,0.0071403612
S5/P5,0.0076312847,0.006649315,0.0076974207,0.0071403
V13*P7,0.006736249,0.007496807,0.008784991,0.007116528
V13/V7,0.0067754644,0.007367526,0.009962288,0.007071495
M4/S2,0.008241927,0.005866396,0.008661658,0.0070541613
P8*P7,0.007062288,0.0069030765,0.008447424,0.0069826823
V7²,0.0064846585,0.007455597,0.008937242,0.006970128
E19*P7,0.0059031034,0.007995551,0.010035826,0.0069493274
