feature,importance,imp_q10,imp_q90
V7/P8,0.075611256,0.026193498,0.12502901
V7/P7,0.034061566,0.041138373,0.026984759
E19,0.03323384,0.052051153,0.014416525
V7*P5,0.032000866,0.027098456,0.036903277
V7/S5,0.02856582,0.038964868,0.018166773
S8,0.023799047,0.029631171,0.017966924
V7*P8,0.023631407,0.018269103,0.02899371
P5/P7,0.020819778,0.020911755,0.0207278
P8/S2,0.020500034,0.023340883,0.017659184
M4*E19,0.019965377,0.016793633,0.02313712
P8*E19,0.019530214,0.016237378,0.02282305
V7*E19,0.019292593,0.02041816,0.018167024
E19/S5,0.019262124,0.012441369,0.026082879
P8*S2,0.018843297,0.02016674,0.017519852
E19/P7,0.018508255,0.022379389,0.01463712
M4/P8,0.018482948,0.017057702,0.019908193
V7*P7,0.018478017,0.019457849,0.017498188
V13/S5,0.018329753,0.022031495,0.01462801
P8/P7,0.018266562,0.016505206,0.020027919
M4/E19,0.018177284,0.020359503,0.015995065
V13²,0.017895266,0.019590044,0.016200488
V13*V7,0.017879717,0.01793549,0.017823942
I2*E19,0.01785501,0.01957735,0.016132673
V7*S2,0.017604778,0.016736742,0.018472813
P8²,0.017521862,0.018696379,0.016347343
V13/S2,0.01740298,0.019125132,0.01568083
P8/P5,0.017325412,0.017712155,0.016938671
M4*P8,0.017307447,0.016913773,0.017701121
S5/P7,0.017012307,0.020054933,0.013969682
M4/I2,0.017011903,0.014208926,0.01981488
V7/S2,0.016981617,0.018231435,0.0157318
V7*I2,0.01677018,0.019577464,0.013962896
V13/P7,0.016727464,0.01627204,0.017182888
P5,0.016640734,0.017216772,0.016064694
S2/P5,0.016576009,0.017955711,0.015196308
M4/V7,0.016398758,0.014312719,0.018484797
M4²,0.01600079,0.01513555,0.01686603
S2/P7,0.01594856,0.015327049,0.01657007
I2/S5,0.015934132,0.018942868,0.012925398
S2*E19,0.015648682,0.01908391,0.0122134555
I2*S5,0.015637312,0.015098549,0.016176077
V7/I2,0.015603553,0.0145151615,0.016691944
V13*I2,0.015489017,0.018841794,0.01213624
M4/P7,0.015305508,0.012886981,0.017724035
M4*V7,0.015114092,0.014703473,0.015524711
M4/S2,0.015108108,0.017487517,0.012728699
S2*I2,0.014546322,0.018353915,0.010738729
S2*S5,0.014115606,0.012185616,0.016045596
E12,0.014003513,0.01566865,0.012338377
M4/P5,0.013736984,0.011975557,0.01549841
E19*S5,0.013536315,0.014228615,0.012844015
