feature,formula
GP_0,"add(add(add(add(sub(X16, neg(sub(sub(X16, neg(mul(mul(X9, X6), abs(abs(X7))))), neg(X0)))), X0), X0), X0), sub(X16, neg(mul(X0, abs(abs(X7))))))"
GP_1,"add(X13, add(sub(X16, neg(mul(mul(X9, X6), abs(X7)))), X0))"
GP_2,"add(add(sub(X16, neg(add(mul(mul(X9, X6), X6), X0))), X0), X0)"
GP_3,"add(X13, add(add(sub(sub(add(sub(X16, neg(mul(mul(X9, X6), abs(abs(X7))))), X0), X1), X1), X0), X0))"
GP_4,"add(add(sub(add(X13, sub(sub(X16, neg(add(sub(add(X13, add(add(X13, add(mul(mul(X9, X6), abs(abs(X7))), X0)), X0)), X1), X0))), neg(X0))), X9), X0), X0)"
GP_5,"sub(X16, neg(add(sub(add(X13, add(add(X13, add(mul(mul(X9, X6), abs(abs(X7))), X0)), X0)), X1), mul(X9, abs(X7)))))"
GP_6,"sub(sub(X16, neg(add(sub(sub(mul(mul(X9, X6), abs(abs(abs(X7)))), X1), mul(X9, X6)), X0))), X1)"
GP_7,"neg(add(sub(mul(X9, X6), neg(mul(mul(X9, X6), abs(abs(X7))))), X0))"
GP_8,"add(sub(add(add(sub(X16, neg(mul(mul(X9, X6), abs(abs(X7))))), X0), X0), abs(X7)), X0)"
GP_9,"add(add(add(add(mul(mul(X9, X6), abs(abs(X7))), X0), X0), X0), add(X13, add(mul(X0, abs(abs(X7))), X0)))"
GP_10,"add(X13, add(sub(mul(mul(X9, X6), abs(X7)), X1), X0))"
GP_11,"add(sub(X16, neg(add(sub(add(add(sub(X16, neg(add(mul(mul(X9, X6), abs(abs(X7))), X0))), X0), X0), X1), X0))), sub(X16, mul(X9, X6)))"
GP_12,"add(X13, add(sub(X16, neg(add(sub(X16, neg(add(add(X13, add(sub(add(sub(X16, neg(mul(mul(X9, X6), abs(abs(abs(X7)))))), X0), X1), X0)), X0))), X0))), X0))"
GP_13,"sub(X16, neg(add(sub(X16, neg(add(sub(sub(sub(add(sub(X16, neg(mul(mul(X9, X6), abs(X9)))), X0), X1), X1), X1), X0))), X0)))"
GP_14,"add(sub(X16, neg(add(add(sub(X16, neg(mul(mul(X9, X6), abs(abs(X7))))), X0), mul(X9, X6)))), X0)"
GP_15,"add(X13, sub(X16, neg(add(sub(sub(mul(mul(X9, X6), abs(abs(X7))), X1), mul(X9, X6)), X0))))"
GP_16,"add(add(add(add(mul(mul(X9, X6), X6), sub(X16, neg(mul(mul(X9, X6), abs(abs(X7)))))), X0), abs(abs(X7))), X0)"
GP_17,"add(sub(sub(add(add(mul(mul(X9, X6), abs(abs(X7))), X0), X0), X1), X1), X6)"
GP_18,"sub(X16, neg(neg(add(sub(add(add(sub(X16, neg(add(sub(sub(add(add(sub(X16, neg(add(add(mul(mul(X9, X6), abs(abs(X7))), X0), X0))), X0), X0), X1), X1), X0))), X0), X0), X1), X0))))"
GP_19,"add(add(add(add(sub(add(add(X13, mul(mul(X9, X6), X6)), X0), X1), X0), X0), X0), add(sub(add(add(sub(X16, neg(mul(mul(X9, X6), abs(abs(X7))))), add(sub(X16, neg(mul(mul(X9, X6), abs(abs(X7))))), X0)), X0), X1), X0))"
