iter	Passed	Remaining
0	14	2190
1	25	1892
2	36	1801
3	47	1744
4	58	1702
5	69	1679
6	80	1651
7	91	1628
8	102	1601
9	112	1581
10	124	1569
11	135	1554
12	145	1534
13	156	1519
14	167	1508
15	178	1495
16	189	1483
17	200	1472
18	211	1460
19	222	1448
20	233	1436
21	244	1423
22	255	1412
23	266	1400
24	277	1387
25	288	1376
26	299	1364
27	310	1351
28	320	1339
29	331	1325
30	342	1313
31	353	1303
32	364	1291
33	375	1281
34	386	1269
35	397	1257
36	408	1246
37	419	1236
38	430	1224
39	440	1211
40	451	1200
41	463	1190
42	474	1179
43	484	1168
44	495	1155
45	506	1144
46	516	1132
47	527	1121
48	538	1109
49	550	1101
50	561	1090
51	572	1078
52	582	1066
53	593	1055
54	604	1043
55	614	1031
56	625	1020
57	636	1009
58	646	997
59	657	986
60	668	975
61	678	963
62	689	952
63	700	940
64	711	929
65	721	918
66	732	907
67	743	896
68	754	885
69	764	873
70	776	863
71	787	852
72	798	841
73	809	831
74	819	819
75	830	808
76	840	797
77	852	786
78	863	775
79	873	764
80	884	753
81	895	742
82	906	731
83	917	720
84	928	709
85	938	698
86	949	687
87	959	676
88	970	664
89	980	653
90	991	642
91	1001	631
92	1012	620
93	1022	609
94	1033	598
95	1044	587
96	1055	576
97	1065	565
98	1076	554
99	1086	543
100	1097	532
101	1107	521
102	1118	510
103	1129	499
104	1140	488
105	1150	477
106	1161	466
107	1171	455
108	1182	444
109	1192	433
110	1203	422
111	1213	411
112	1224	400
113	1234	389
114	1244	378
115	1255	368
116	1265	357
117	1276	346
118	1287	335
119	1297	324
120	1308	313
121	1318	302
122	1329	291
123	1340	281
124	1350	270
125	1360	259
126	1371	248
127	1381	237
128	1392	226
129	1402	215
130	1412	204
131	1423	194
132	1433	183
133	1444	172
134	1454	161
135	1465	150
136	1475	140
137	1486	129
138	1496	118
139	1507	107
140	1518	96
141	1529	86
142	1542	75
143	1553	64
144	1563	53
145	1574	43
146	1584	32
147	1595	21
148	1606	10
149	1617	0
